Bronstein Carbon Backscattered Electron Yield (BSEY)
beamE (eV), yield
95.3025, 0.141809
110.4370, 0.141809
129.6700, 0.141809
150.9640, 0.141809
174.3630, 0.141809
199.8010, 0.141809
229.1380, 0.141809
229.3600, 0.141824
235.9810, 0.142262
258.9410, 0.149584
263.1730, 0.148549
265.9650, 0.147866
288.4780, 0.152077
297.0090, 0.153673
300.0320, 0.151371
317.9480, 0.153840
335.0100, 0.156191
342.4820, 0.153798
349.4130, 0.154321
372.9010, 0.156092
391.3800, 0.153333
393.1710, 0.153066
421.2280, 0.153871
439.5970, 0.151831
439.5980, 0.151831
481.5420, 0.151629
486.3950, 0.151606
507.0890, 0.149466
540.2610, 0.149017
555.7500, 0.148807
566.1260, 0.147136
586.3280, 0.147118
608.3090, 0.147099
637.8440, 0.144754
642.8760, 0.144950
667.2060, 0.145897
695.3250, 0.143557
709.5620, 0.142372
717.7040, 0.145242
741.4140, 0.144105
763.9260, 0.143026
777.0890, 0.140528
800.0000, 0.140663
820.6740, 0.140784
846.6570, 0.137633
850.2550, 0.137789
879.5480, 0.139059
890.0070, 0.138169
931.0210, 0.134677
933.9020, 0.136126
936.3170, 0.137340
993.0200, 0.134050
996.6540, 0.132796
1002.6300, 0.130733
1023.7900, 0.130296
1058.7100, 0.129575
1085.1900, 0.128714
1167.0800, 0.126053
1173.1100, 0.125857
1270.2500, 0.122424
1308.2400, 0.121082
1384.2100, 0.119699
1485.5700, 0.117854
1508.2100, 0.117244
1642.6800, 0.113621
1683.4000, 0.112524
1787.8300, 0.109711
1881.2400, 0.107194
1985.6700, 0.104835
2099.6300, 0.102261
2141.7800, 0.101309
2244.9000, 0.099533
2360.8900, 0.097536
2442.7300, 0.096199
2559.1600, 0.094296
2630.4200, 0.092634
2788.4100, 0.088950
2848.8700, 0.088028
2963.3800, 0.086282
2965.8500, 0.086244
