Bronstein Carbon Secondary Electron Yield (SEY)
beamE (eV), yield
95.3025, 0.708502
110.4370, 0.746040
129.6700, 0.773064
150.9640, 0.795878
174.3630, 0.818669
199.8010, 0.835157
229.1380, 0.843163
229.3600, 0.843209
235.9810, 0.845162
258.9410, 0.846133
263.1730, 0.848696
265.9650, 0.849812
288.4780, 0.849093
297.0090, 0.847407
300.0320, 0.849677
317.9480, 0.847020
335.0100, 0.838812
342.4820, 0.838640
349.4130, 0.835738
372.9010, 0.826688
391.3800, 0.823721
393.1710, 0.823269
421.2280, 0.811203
439.5970, 0.805870
439.5980, 0.805870
481.5420, 0.790973
486.3950, 0.789214
507.0890, 0.783757
540.2610, 0.772028
555.7500, 0.764330
566.1260, 0.760704
586.3280, 0.750408
608.3090, 0.739614
637.8440, 0.727429
642.8760, 0.724758
667.2060, 0.715784
695.3250, 0.708848
709.5620, 0.703415
717.7040, 0.696760
741.4140, 0.686875
763.9260, 0.674843
777.0890, 0.669675
800.0000, 0.656196
820.6740, 0.645520
846.6570, 0.635406
850.2550, 0.633413
879.5480, 0.614861
890.0070, 0.609580
931.0210, 0.585248
933.9020, 0.581844
936.3170, 0.579154
993.0200, 0.547787
996.6540, 0.546820
1002.6300, 0.543325
1023.7900, 0.524080
1058.7100, 0.509245
1085.1900, 0.498309
1167.0800, 0.465199
1173.1100, 0.463669
1270.2500, 0.439294
1308.2400, 0.432877
1384.2100, 0.418745
1485.5700, 0.394701
1508.2100, 0.389528
1642.6800, 0.361458
1683.4000, 0.354832
1787.8300, 0.337840
1881.2400, 0.330274
1985.6700, 0.321361
2099.6300, 0.300661
2141.7800, 0.294233
2244.9000, 0.277955
2360.8900, 0.267431
2442.7300, 0.259933
2559.1600, 0.252499
2630.4200, 0.248446
2788.4100, 0.232110
2848.8700, 0.225371
2963.3800, 0.214313
2965.8500, 0.214075
