SEY (True SE) for Mo (Bronstein sigma - nu)
BeamE(eV),SEY
46.76,0.390230
60.30,0.423854
78.58,0.457579
92.01,0.495963
110.20,0.534448
130.75,0.572984
142.06,0.599417
153.33,0.628230
171.46,0.669096
194.44,0.705303
224.44,0.735736
242.52,0.770960
281.97,0.799595
314.50,0.825009
349.45,0.846605
391.53,0.870103
440.88,0.886629
497.55,0.891603
559.08,0.896935
627.93,0.894021
699.26,0.885149
780.34,0.866149
861.47,0.845472
933.05,0.828123
992.76,0.809169
1016.08,0.807403
1183.29,0.793831
1373.84,0.778682
1588.83,0.755876
1804.10,0.732106
2019.36,0.708326
2233.80,0.691123
2425.18,0.667957
2605.31,0.640544
2808.22,0.620124
3035.29,0.594822
3226.95,0.570655
3406.25,0.551635
3574.02,0.529099
3777.76,0.501769
3957.89,0.475622
