SEY (True SE) for Ti (Bronstein sigma - nu)
BeamE(eV),SEY
44.67,0.524739
48.93,0.571394
53.21,0.619844
61.17,0.668283
76.50,0.718494
88.04,0.759743
107.03,0.800868
118.50,0.824838
148.58,0.847424
171.08,0.859935
197.17,0.861540
223.25,0.872109
256.74,0.892265
297.52,0.906182
356.64,0.920577
423.04,0.932494
526.02,0.932154
592.08,0.921297
676.38,0.900388
764.34,0.877740
987.94,0.834039
1141.85,0.798406
1292.09,0.762506
1457.04,0.728411
1581.59,0.696099
1728.17,0.661997
1918.77,0.620715
2091.10,0.588499
2252.45,0.559944
2399.07,0.529578
