"BSEY vs. energy for thick glassy-C on planar Cu substrate."
"beamE (eV)","BSEY"
75,0.06699300000000001
100,0.08680533333333335
125,0.10443200000000001
150,0.11654366666666667
175,0.12553166666666668
200,0.132311
250,0.14139666666666667
300,0.14614066666666667
350,0.14770433333333335
400,0.14767833333333336
500,0.14522333333333334
800,0.136579
1000,0.13160666666666668
1500,0.12404166666666668
2000,0.11738333333333334
3500,0.10486333333333334
5000,0.096694
8000,0.08734366666666667
10000,0.08318933333333334
