"BSEY vs. energy for 70 nm glassy-C on around W wire."
"beamE (eV)","BSEY"
75,0.06730866666666667
100,0.08691266666666667
125,0.10428866666666667
150,0.11669933333333334
175,0.12547566666666668
200,0.13232433333333335
250,0.14170933333333335
300,0.14655033333333334
350,0.14807700000000001
400,0.14751666666666668
500,0.145651
800,0.136695
1000,0.13176500000000002
1500,0.12405733333333334
2000,0.11881133333333334
3500,0.23262200000000002
5000,0.35118533333333335
8000,0.43373333333333336
10000,0.4540716666666667
