BSEY for Mo (Bronstein)
BeamE(eV),BSEY
200.69,0.256012
233.63,0.270826
261.86,0.283189
292.52,0.293249
325.61,0.301008
365.72,0.313622
410.73,0.319281
450.94,0.327190
493.52,0.335151
531.41,0.340659
576.52,0.341614
621.58,0.344921
673.71,0.350730
721.19,0.351736
763.88,0.354993
823.23,0.356249
877.79,0.359758
937.14,0.361014
994.07,0.364573
1039.78,0.358849
1264.07,0.359881
1547.09,0.363482
1854.01,0.364893
2172.73,0.366359
2420.34,0.369797
2750.59,0.373616
3092.64,0.377488
3423.16,0.379008
3729.80,0.382718
3954.08,0.383750
