"Sampler for emission energy (eE) of BSE from a planar SiFBSEED substrate"
"eE = sampler[T,r] with r uniform on [0,1]; Interpolate this tabulation to obtain sampler."
"beamE (eV)","r","eE (eV)"
75,0.,50.
75,0.00390625,50.25019131019467
75,0.005859375,50.375286965292005
75,0.0078125,50.500382620389345
75,0.009765625,50.62547827548668
75,0.0107421875,50.68802610303535
75,0.01171875,50.75057393058402
75,0.015625,51.00074242047714
75,0.015869140625,51.015913066522735
75,0.01611328125,51.03108371256834
75,0.0166015625,51.06142500465954
75,0.017578125,51.12210758884195
75,0.01953125,51.24347275720676
75,0.0234375,51.48620309393638
75,0.0244140625,51.546885678118784
75,0.02490234375,51.57722697020999
75,0.025390625,51.60756826230119
75,0.02734375,51.728933430666004
75,0.029296875,51.850298599030815
75,0.03125,51.971663767395626
75,0.033203125,52.08840648911298
75,0.03515625,52.20374123252409
75,0.037109375,52.3190759759352
75,0.0390625,52.43441071934631
75,0.0400390625,52.49207809105186
75,0.04052734375,52.52091177690464
75,0.041015625,52.549745462757414
75,0.04296875,52.665080206168525
75,0.0439453125,52.72274757787408
75,0.044921875,52.78041494957964
75,0.046875,52.89574969299074
75,0.05078125,53.10782093437802
75,0.0546875,53.30455531944892
75,0.056640625,53.40292251198437
75,0.05859375,53.50128970451982
75,0.060546875,53.59965689705527
75,0.0625,53.69802408959072
75,0.06640625,53.894758474661614
75,0.0703125,54.08319482600733
75,0.07421875,54.26208619505495
75,0.076171875,54.35153187957876
75,0.0771484375,54.396254721840656
75,0.078125,54.44097756410257
75,0.0859375,54.7987603021978
75,0.09375,55.131658194701174
75,0.09765625,55.28211211876155
75,0.1015625,55.43256604282193
75,0.109375,55.7334738909427
75,0.11328125,55.883927815003084
75,0.115234375,55.95915477703327
75,0.1171875,56.02801845877686
75,0.125,56.27323508736694
75,0.12890625,56.39584340166198
75,0.1328125,56.51845171595702
75,0.140625,56.7636683445471
75,0.15625,57.20412582687964
75,0.158203125,57.253372906330675
75,0.16015625,57.3026199857817
75,0.162109375,57.35186706523274
75,0.1640625,57.40111414468377
75,0.171875,57.5981024624879
75,0.1796875,57.79509078029203
75,0.18359375,57.89358493919409
75,0.1875,57.99207909809616
75,0.203125,58.372358144646746
75,0.20703125,58.46735764618347
75,0.2109375,58.5623571477202
75,0.21875,58.75235615079365
75,0.2265625,58.942355153867105
75,0.234375,59.16865116250248
75,0.2421875,59.41075578152885
75,0.25,59.65286040055523
75,0.25390625,59.77391271006841
75,0.2578125,59.8949650195816
75,0.265625,60.17391928229966
75,0.28125,60.78830277393383
75,0.28515625,60.94189864684237
75,0.2890625,61.12024171352764
75,0.296875,61.50704152146365
75,0.3125,62.34261989943918
75,0.328125,63.37175604182319
75,0.34375,64.7823307806324
75,0.359375,66.7931494924457
75,0.3671875,68.13898655958721
75,0.375,70.11153017241381
75,0.3828125,74.00597470042563
75,0.390625,74.01855729915441
75,0.40625,74.04372249661199
75,0.421875,74.06888769406957
75,0.42578125,74.07517899343397
75,0.4296875,74.08147029279836
75,0.4375,74.09405289152716
75,0.453125,74.11921808898472
75,0.4609375,74.13180068771352
75,0.46875,74.1443832864423
75,0.4765625,74.1569658851711
75,0.484375,74.16954848389989
75,0.5,74.19471368135747
75,0.53125,74.24504407627262
75,0.546875,74.2702092737302
75,0.5546875,74.282791872459
75,0.5625,74.29537447118778
75,0.578125,74.32053966864537
75,0.59375,74.34570486610295
75,0.625,74.3960352610181
75,0.640625,74.42120045847568
75,0.65625,74.44636565593326
75,0.6640625,74.45894825466205
75,0.671875,74.47153085339083
75,0.6875,74.49669605084841
75,0.6953125,74.50927864957721
75,0.703125,74.521861248306
75,0.71875,74.54702644576358
75,0.734375,74.57219164322116
75,0.75,74.59735684067873
75,0.765625,74.62252203813631
75,0.78125,74.64768723559389
75,0.796875,74.67285243305147
75,0.8125,74.69801763050906
75,0.8203125,74.71060022923784
75,0.828125,74.72318282796662
75,0.84375,74.7483480254242
75,0.875,74.79867842033937
75,0.87890625,74.80496971970376
75,0.8828125,74.81126101906816
75,0.890625,74.82384361779694
75,0.8984375,74.83642621652574
75,0.90234375,74.84271751589013
75,0.90625,74.84900881525452
75,0.91015625,74.85530011461891
75,0.9140625,74.86159141398332
75,0.91796875,74.86788271334771
75,0.921875,74.8741740127121
75,0.9375,74.89933921016969
75,0.9384765625,74.90091203501078
75,0.939453125,74.90248485985188
75,0.94140625,74.90563050953408
75,0.9453125,74.91192180889847
75,0.94580078125,74.91270822131902
75,0.9462890625,74.91349463373957
75,0.947265625,74.91506745858067
75,0.947509765625,74.91546066479094
75,0.9476318359375,74.91565726789608
75,0.94775390625,74.91585387100122
75,0.9482421875,74.91664028342177
75,0.94921875,74.91821310826286
75,0.953125,74.92450440762727
75,0.96875,74.94966960508484
75,1.,75
100,0.,50.
100,0.00390625,50.35273717576972
100,0.005859375,50.52910576365458
100,0.0078125,50.705474351539436
100,0.009765625,50.881842939424295
100,0.0107421875,50.97002723336672
100,0.01171875,51.05790624344451
100,0.015625,51.40879352842459
100,0.015869140625,51.43072398373584
100,0.01611328125,51.452654439047095
100,0.0166015625,51.4965153496696
100,0.017578125,51.58423717091462
100,0.01953125,51.75968081340466
100,0.0234375,52.11276810547711
100,0.0244140625,52.20223535448759
100,0.02490234375,52.24696897899283
100,0.025390625,52.291702603498074
100,0.02734375,52.47063710151904
100,0.029296875,52.64957159954001
100,0.03125,52.828506097560975
100,0.033203125,53.00758668057374
100,0.03515625,53.19003429046684
100,0.037109375,53.37248190035995
100,0.0390625,53.554929510253054
100,0.0400390625,53.646153315199605
100,0.04052734375,53.69176521767289
100,0.041015625,53.737377120146164
100,0.04296875,53.91982473003927
100,0.0439453125,54.01095532865563
100,0.044921875,54.101409562243134
100,0.046875,54.28231802941813
100,0.05078125,54.64413496376812
100,0.0546875,55.005926259961235
100,0.056640625,55.186055453101446
100,0.05859375,55.366184646241656
100,0.060546875,55.54631383938187
100,0.0625,55.72644303252208
100,0.06640625,56.08847355769231
100,0.0703125,56.456095467032966
100,0.07421875,56.82371737637363
100,0.076171875,57.00728341617053
100,0.0771484375,57.096198985355095
100,0.078125,57.18511455453966
100,0.0859375,57.89643910801616
100,0.09375,58.62422199170125
100,0.09765625,58.98951565571085
100,0.1015625,59.330016631119236
100,0.109375,60.00941566566567
100,0.11328125,60.34428647397397
100,0.115234375,60.51172187812813
100,0.1171875,60.67915728228228
100,0.125,61.34178270249068
100,0.12890625,61.66982343351638
100,0.1328125,61.997864164542065
100,0.140625,62.61772299925899
100,0.15625,63.83810677413512
100,0.158203125,63.9895901727495
100,0.16015625,64.13096808264672
100,0.162109375,64.27160030792837
100,0.1640625,64.41223253321002
100,0.171875,64.97476143433664
100,0.1796875,65.53396818599599
100,0.18359375,65.81349353484292
100,0.1875,66.09065553745928
100,0.203125,67.1860769198454
100,0.20703125,67.46715231683751
100,0.2109375,67.7482277138296
100,0.21875,68.3360739628821
100,0.2265625,68.9447638054949
100,0.234375,69.57806561193463
100,0.2421875,70.22310938429507
100,0.25,70.88647630378743
100,0.25390625,71.23166554801011
100,0.2578125,71.58388279111392
100,0.265625,72.31447375976114
100,0.28125,73.82721819196429
100,0.28515625,74.2044635238908
100,0.2890625,74.58505048350398
100,0.296875,75.33355025208242
100,0.3125,76.76898567516326
100,0.328125,78.08520797038328
100,0.34375,79.21460910716947
100,0.359375,80.18706819976313
100,0.3671875,80.62730499078826
100,0.375,81.05137637637638
100,0.3828125,81.38624718468469
100,0.390625,81.721117992993
100,0.40625,82.3028532924843
100,0.421875,82.82179525711626
100,0.42578125,82.95153074827425
100,0.4296875,83.07907665094339
100,0.4375,83.33155660377359
100,0.453125,83.83651650943396
100,0.4609375,84.11328687914305
100,0.46875,84.4346779229513
100,0.4765625,84.75606896675953
100,0.484375,85.09944268006907
100,0.5,85.92464232856439
100,0.53125,88.45645300851972
100,0.546875,90.75479220360825
100,0.5546875,92.54360708841463
100,0.5625,95.7319051580699
100,0.578125,99.03214890838467
100,0.59375,99.06799524511116
100,0.625,99.13968791856415
100,0.640625,99.17553425529064
100,0.65625,99.21138059201715
100,0.6640625,99.22930376038039
100,0.671875,99.24722692874363
100,0.6875,99.28307326547012
100,0.6953125,99.30099643383338
100,0.703125,99.31891960219663
100,0.71875,99.35476593892312
100,0.734375,99.39061227564962
100,0.75,99.42645861237611
100,0.765625,99.4623049491026
100,0.78125,99.4981512858291
100,0.796875,99.53399762255559
100,0.8125,99.56984395928208
100,0.8203125,99.58776712764532
100,0.828125,99.60569029600858
100,0.84375,99.64153663273507
100,0.875,99.71322930618805
100,0.87890625,99.72219089036967
100,0.8828125,99.7311524745513
100,0.890625,99.74907564291455
100,0.8984375,99.76699881127779
100,0.90234375,99.77596039545942
100,0.90625,99.78492197964104
100,0.91015625,99.79388356382266
100,0.9140625,99.80284514800428
100,0.91796875,99.81180673218591
100,0.921875,99.82076831636753
100,0.9375,99.85661465309403
100,0.9384765625,99.85885504913944
100,0.939453125,99.86109544518484
100,0.94140625,99.86557623727565
100,0.9453125,99.87453782145727
100,0.94580078125,99.87565801947997
100,0.9462890625,99.87677821750268
100,0.947265625,99.87901861354808
100,0.947509765625,99.87957871255944
100,0.9476318359375,99.87985876206511
100,0.94775390625,99.88013881157079
100,0.9482421875,99.88125900959349
100,0.94921875,99.8834994056389
100,0.953125,99.89246098982052
100,0.96875,99.92830732654701
100,1.,100
125,0.,50.
125,0.00390625,50.51046682395994
125,0.005859375,50.765736607142856
125,0.0078125,51.02156129343629
125,0.009765625,51.27809530159038
125,0.0107421875,51.40660304742048
125,0.01171875,51.53511079325058
125,0.015625,52.046277554048324
125,0.015869140625,52.077876077985906
125,0.01611328125,52.10947460192349
125,0.0166015625,52.172671649798644
125,0.017578125,52.2986655288219
125,0.01953125,52.54939179175076
125,0.0234375,53.05182485857547
125,0.0244140625,53.179605638499616
125,0.02490234375,53.243496028461685
125,0.025390625,53.30738641842376
125,0.02734375,53.56294797827205
125,0.029296875,53.81792732057874
125,0.03125,54.07131703067902
125,0.033203125,54.32136911663324
125,0.03515625,54.57052401917774
125,0.037109375,54.819678921722236
125,0.0390625,55.07089640866481
125,0.0400390625,55.19679948774385
125,0.04052734375,55.25980318509615
125,0.041015625,55.32309144963067
125,0.04296875,55.57624450776872
125,0.0439453125,55.70282103683775
125,0.044921875,55.829397565906774
125,0.046875,56.082952073201945
125,0.05078125,56.59172038968518
125,0.0546875,57.10087787196788
125,0.056640625,57.35605759662301
125,0.05859375,57.61129100860298
125,0.060546875,57.86652442058295
125,0.0625,58.12414649956785
125,0.06640625,58.64144940398645
125,0.0703125,59.15583200636943
125,0.07421875,59.662267117834396
125,0.076171875,59.91697361021851
125,0.0771484375,60.044721541613114
125,0.078125,60.173339332460735
125,0.0859375,61.206868433976766
125,0.09375,62.222184065934066
125,0.09765625,62.742267219387756
125,0.1015625,63.25651141596316
125,0.109375,64.26492040386522
125,0.11328125,64.75742729497027
125,0.115234375,65.00376183052671
125,0.1171875,65.25544045961003
125,0.125,66.26443167305236
125,0.12890625,66.77216036079183
125,0.1328125,67.27035914754502
125,0.140625,68.24483800192354
125,0.15625,70.14903962920984
125,0.158203125,70.39199199564096
125,0.16015625,70.63606834786346
125,0.162109375,70.88014470008595
125,0.1640625,71.12206277147683
125,0.171875,72.07584872271433
125,0.1796875,72.98927428392341
125,0.18359375,73.44165732171247
125,0.1875,73.8931126504656
125,0.203125,75.67035227012153
125,0.20703125,76.12680988485708
125,0.2109375,76.58423615906997
125,0.21875,77.50758949461863
125,0.2265625,78.43898477827311
125,0.234375,79.3736073449658
125,0.2421875,80.31285208135674
125,0.25,81.2573985680191
125,0.25390625,81.73180377386635
125,0.2578125,82.20416641959203
125,0.265625,83.13747607520828
125,0.28125,84.91541064981949
125,0.28515625,85.34473387053667
125,0.2890625,85.76974088625187
125,0.296875,86.61229272285594
125,0.3125,88.19501224566693
125,0.328125,89.65639894592118
125,0.34375,91.02503161888701
125,0.359375,92.37625238549619
125,0.3671875,93.06819364772
125,0.375,93.77188552188552
