"SEY vs. energy for thick glassy-C on planar Cu substrate."
"beamE (eV)","SEY"
75,0.15169666666666667
100,0.19246733333333335
125,0.22867300000000002
150,0.25495266666666666
175,0.27372066666666667
200,0.2854066666666667
250,0.2943096666666667
300,0.2900146666666667
350,0.27754533333333337
400,0.26189633333333334
500,0.22896766666666668
800,0.15564766666666668
1000,0.12757933333333335
1500,0.08889100000000001
2000,0.068479
3500,0.042057000000000004
5000,0.030755333333333336
8000,0.020458333333333335
10000,0.016742666666666666
