"Cu, TDDFT b=1, l=0, April 2026, Linear elastic below 100 eV"
"E_beam (eV)","Sample tilt (deg)","BSEY","SEY"
50.,0.,0.,0.279
75.,0.,0.062,0.399
100.,0.,0.144,0.519
125.,0.,0.208,0.61
150.,0.,0.261,0.685
175.,0.,0.305,0.751
200.,0.,0.341,0.804
250.,0.,0.391,0.889
300.,0.,0.429,0.963
350.,0.,0.45,1.021
400.,0.,0.468,1.072
500.,0.,0.487,1.135
800.,0.,0.503,1.171
1000.,0.,0.493,1.135
1500.,0.,0.462,0.954
2000.,0.,0.441,0.777
3500.,0.,0.395,0.485
5000.,0.,0.374,0.362
8000.,0.,0.362,0.231
10000.,0.,0.355,0.192
15000.,0.,0.338,0.126
20000.,0.,0.328,0.102
29975.,0.,0.322,0.072
50.,10.,0.,0.277
75.,10.,0.061,0.408
100.,10.,0.148,0.53
125.,10.,0.212,0.612
150.,10.,0.271,0.692
175.,10.,0.307,0.747
200.,10.,0.341,0.812
250.,10.,0.395,0.895
300.,10.,0.432,0.965
350.,10.,0.456,1.011
400.,10.,0.472,1.077
500.,10.,0.49,1.157
800.,10.,0.504,1.201
1000.,10.,0.508,1.118
1500.,10.,0.476,0.964
2000.,10.,0.446,0.798
3500.,10.,0.403,0.503
5000.,10.,0.394,0.374
8000.,10.,0.364,0.235
10000.,10.,0.357,0.198
15000.,10.,0.339,0.137
20000.,10.,0.337,0.11
29975.,10.,0.32,0.074
50.,20.,0.,0.284
75.,20.,0.064,0.404
100.,20.,0.153,0.525
125.,20.,0.222,0.613
150.,20.,0.266,0.685
175.,20.,0.313,0.755
200.,20.,0.352,0.809
250.,20.,0.408,0.901
300.,20.,0.434,0.978
350.,20.,0.464,1.035
400.,20.,0.481,1.103
500.,20.,0.505,1.161
800.,20.,0.523,1.207
1000.,20.,0.516,1.19
1500.,20.,0.482,0.983
2000.,20.,0.462,0.832
3500.,20.,0.428,0.532
5000.,20.,0.403,0.38
8000.,20.,0.377,0.248
10000.,20.,0.383,0.22
15000.,20.,0.361,0.147
20000.,20.,0.354,0.117
29975.,20.,0.341,0.082
50.,30.,0.,0.302
75.,30.,0.069,0.42
100.,30.,0.159,0.533
125.,30.,0.226,0.628
150.,30.,0.286,0.709
175.,30.,0.327,0.762
200.,30.,0.364,0.824
250.,30.,0.416,0.919
300.,30.,0.455,1.006
350.,30.,0.488,1.068
400.,30.,0.503,1.121
500.,30.,0.517,1.19
800.,30.,0.554,1.249
1000.,30.,0.543,1.223
1500.,30.,0.513,1.071
2000.,30.,0.486,0.876
3500.,30.,0.454,0.58
5000.,30.,0.441,0.416
8000.,30.,0.415,0.275
10000.,30.,0.408,0.23
15000.,30.,0.395,0.16
20000.,30.,0.375,0.12
29975.,30.,0.374,0.088
50.,40.,0.,0.305
75.,40.,0.074,0.429
100.,40.,0.168,0.545
125.,40.,0.236,0.635
150.,40.,0.292,0.715
175.,40.,0.345,0.776
200.,40.,0.383,0.837
250.,40.,0.443,0.944
300.,40.,0.481,1.031
350.,40.,0.512,1.11
400.,40.,0.526,1.174
500.,40.,0.558,1.245
800.,40.,0.588,1.329
1000.,40.,0.578,1.286
1500.,40.,0.563,1.133
2000.,40.,0.544,0.955
3500.,40.,0.493,0.63
5000.,40.,0.469,0.459
8000.,40.,0.453,0.308
10000.,40.,0.449,0.243
15000.,40.,0.434,0.173
20000.,40.,0.421,0.141
29975.,40.,0.419,0.097
50.,50.,0.,0.321
75.,50.,0.08,0.443
100.,50.,0.172,0.561
125.,50.,0.243,0.666
150.,50.,0.306,0.744
175.,50.,0.356,0.802
200.,50.,0.399,0.87
250.,50.,0.469,0.981
300.,50.,0.516,1.065
350.,50.,0.548,1.14
400.,50.,0.578,1.207
500.,50.,0.618,1.281
800.,50.,0.643,1.416
1000.,50.,0.652,1.372
1500.,50.,0.623,1.213
2000.,50.,0.605,1.06
3500.,50.,0.557,0.715
5000.,50.,0.538,0.541
8000.,50.,0.531,0.358
10000.,50.,0.513,0.301
15000.,50.,0.493,0.209
20000.,50.,0.472,0.16
29975.,50.,0.468,0.113
50.,60.,0.,0.336
75.,60.,0.089,0.467
100.,60.,0.194,0.568
125.,60.,0.271,0.666
150.,60.,0.331,0.754
175.,60.,0.39,0.814
200.,60.,0.436,0.888
250.,60.,0.505,0.998
300.,60.,0.561,1.085
350.,60.,0.601,1.162
400.,60.,0.633,1.237
500.,60.,0.671,1.349
800.,60.,0.726,1.489
1000.,60.,0.73,1.479
1500.,60.,0.72,1.346
2000.,60.,0.689,1.184
3500.,60.,0.646,0.81
5000.,60.,0.62,0.623
8000.,60.,0.603,0.427
10000.,60.,0.582,0.363
15000.,60.,0.568,0.251
20000.,60.,0.562,0.202
29975.,60.,0.544,0.139
50.,70.,0.,0.351
75.,70.,0.093,0.489
100.,70.,0.213,0.593
125.,70.,0.295,0.683
150.,70.,0.359,0.76
175.,70.,0.419,0.831
200.,70.,0.474,0.896
250.,70.,0.553,1.
300.,70.,0.627,1.091
350.,70.,0.675,1.197
400.,70.,0.716,1.244
500.,70.,0.765,1.365
800.,70.,0.832,1.501
1000.,70.,0.839,1.514
1500.,70.,0.835,1.426
2000.,70.,0.818,1.293
3500.,70.,0.772,0.971
5000.,70.,0.738,0.787
8000.,70.,0.708,0.585
10000.,70.,0.699,0.491
15000.,70.,0.68,0.361
20000.,70.,0.659,0.283
29975.,70.,0.643,0.198
50.,80.,0.018,0.367
