"Cu, TDDFT b=1, l=0, April 2026, Browning elastic below 100 eV"
"E_beam (eV)","Sample tilt (deg)","BSEY","SEY"
50.,0.,0.,0.384
75.,0.,0.069,0.5
100.,0.,0.149,0.62
125.,0.,0.211,0.713
150.,0.,0.261,0.783
175.,0.,0.305,0.843
200.,0.,0.339,0.89
250.,0.,0.392,0.973
300.,0.,0.429,1.03
350.,0.,0.451,1.082
400.,0.,0.467,1.117
500.,0.,0.486,1.159
800.,0.,0.499,1.14
1000.,0.,0.49,1.07
1500.,0.,0.468,0.871
2000.,0.,0.437,0.716
3500.,0.,0.397,0.458
5000.,0.,0.374,0.325
8000.,0.,0.359,0.211
10000.,0.,0.351,0.177
15000.,0.,0.337,0.116
20000.,0.,0.332,0.099
29975.,0.,0.315,0.068
50.,10.,0.,0.381
75.,10.,0.068,0.501
100.,10.,0.148,0.626
125.,10.,0.208,0.715
150.,10.,0.269,0.786
175.,10.,0.31,0.832
200.,10.,0.337,0.898
250.,10.,0.397,0.988
300.,10.,0.431,1.046
350.,10.,0.447,1.09
400.,10.,0.472,1.117
500.,10.,0.49,1.149
800.,10.,0.503,1.149
1000.,10.,0.504,1.076
1500.,10.,0.465,0.879
2000.,10.,0.437,0.721
3500.,10.,0.398,0.472
5000.,10.,0.389,0.34
8000.,10.,0.363,0.216
10000.,10.,0.351,0.176
15000.,10.,0.345,0.129
20000.,10.,0.336,0.095
29975.,10.,0.331,0.066
50.,20.,0.,0.392
75.,20.,0.073,0.512
100.,20.,0.153,0.622
125.,20.,0.215,0.724
150.,20.,0.268,0.788
175.,20.,0.314,0.859
200.,20.,0.35,0.904
250.,20.,0.404,0.982
300.,20.,0.442,1.061
350.,20.,0.467,1.106
400.,20.,0.481,1.142
500.,20.,0.501,1.18
800.,20.,0.522,1.18
1000.,20.,0.511,1.135
1500.,20.,0.486,0.932
2000.,20.,0.472,0.745
3500.,20.,0.41,0.475
5000.,20.,0.394,0.342
8000.,20.,0.384,0.23
10000.,20.,0.379,0.182
15000.,20.,0.362,0.132
20000.,20.,0.349,0.107
29975.,20.,0.341,0.07
50.,30.,0.,0.403
75.,30.,0.078,0.515
100.,30.,0.157,0.636
